model,roc_auc,pr_auc
LOF_sampled,0.9483872368587278,0.4345394882832886
IsolationForest,0.953929102592078,0.17171730448455547
OneClassSVM,0.9259821859244544,0.04160946575007907
EllipticEnvelope,0.913245746385217,0.014446355595964792
